benchmark,case_unit_id,status,hard_failures,review_signals,stronger_condition_count,checklist_sha256
deep_swe_v1_1,abs-module-cache-flags,pass,,,1,12aeaa321a1cc5a0cfffa315f87c96cf73699338b225c9c65739b9548ec67d71
deep_swe_v1_1,abs-stepped-slices,pass,,,1,86f3e1aa6212fa65d9b0ca21a222f6f3e4095198ec314782df8fdcee95d46d79
deep_swe_v1_1,actionlint-action-pinning-lint,pass,,,1,921aaa0f3a2d67cdd986ca03d8f0644f4fd691b5e2a22868af5589916c30fe01
terminal_bench_2_1,adaptive-rejection-sampler,pass,,,1,258a9e6cff398f194bb24198768204dbe0144897a912f5251e62f1663de74cce
deep_swe_v1_1,adaptix-name-mapping-aliases,pass,,,1,8ec5d839798f367a540828086f5574e9e69dbe308ab05ca3d2c15f6ba9b634a3
deep_swe_v1_1,aiomonitor-task-snapshots-diff,pass,,,1,f53f4d6b8936d9845ecce326e2625f921c42c64783144bdffdede9033bb3af49
deep_swe_v1_1,anko-default-function-arguments,pass,,,1,85782e65d1ffaea4e4dba7dce6fae627ef72fb94d178e3041994546f049097df
deep_swe_v1_1,anko-typed-variable-bindings,pass,,,1,4e44e61457ef6c4ca73c5f4dcadd4e7cc0c677178665610ee6c0243506043cac
deep_swe_v1_1,arcane-drift-detection-baselines,pass,,,1,cbeb7513546a548dc25dabfd5ba97a84ec699de526ed0e40ee78de2c192e4144
deep_swe_v1_1,arktype-json-schema-refs-dependencies,pass,,missing_duplicate_worst_status_rule,1,424652f57242af7b104cdbae75d940035324a76367406239c0dcc50427b5580e
deep_swe_v1_1,awilix-async-container-initialization,pass,,,1,fe03a3ee20305c40bb2666fe1bae45b4778bb1e559b3d4c7a1ae065477d5d72f
deep_swe_v1_1,bandit-incremental-cache-control,pass,,,1,f0759ead9c063eedc665218fcfaaf540b41933c862b833b4ba3c424634db3577
deep_swe_v1_1,bandit-interprocedural-taint-checks,pass,,,1,d2577c38c4420f65117c782b9261c034a7d602c94821ff9790a88e19ee2fd6aa
deep_swe_v1_1,bandit-structured-nosec-directives,pass,,,1,c2c4fdf878dbc10ebb46663ce70ccea916c3fe6ab34af4dc4ffe036205a5bb9d
terminal_bench_2_1,bn-fit-modify,pass,,,2,22282c1005c582714820f26ee9f46ddcbd96ed9203394cc5e5a98017f752019b
deep_swe_v1_1,boa-hierarchical-evaluation-cancellation,pass,,missing_duplicate_worst_status_rule,1,9615ae6581f261bbfa30392368ce6cc16b197f558c75d83472e352a0e5f77f36
terminal_bench_2_1,break-filter-js-from-html,pass,,,1,53a32a72b4d01a36052b359b2714e9a3835c35de8dfdd738d1f125ccb7a3e9e4
terminal_bench_2_1,build-cython-ext,pass,,,1,4540039d7b81eaa04ba798777d55a78b1fc04600eaaf151d9aa48fc203e0bf90
terminal_bench_2_1,build-pmars,pass,,,1,e93b1561d539373d2f70ec69268442979150f5ff7ba93e216b93ee2b65ea45b1
terminal_bench_2_1,build-pov-ray,pass,,,1,7c90b517f080ba5656eb7a39a0892c2aea44c87c208c5a58c66686ec2e634fb0
terminal_bench_2_1,caffe-cifar-10,pass,,,1,298dd86e77d092219ed38dab68a91ff7a2f04f7273d92cab821d7d26b39ef963
terminal_bench_2_1,cancel-async-tasks,pass,,,0,e840ca006612947f8e4ac140d3069e6befd60be81985e1bf52f9b7812fd1cf0c
deep_swe_v1_1,cattrs-partial-structuring-recovery,pass,,missing_duplicate_worst_status_rule,1,bb4424e225a9e30b7ebd87a10b436ffe73c3771ab4bea8ed725ec1faa6e4f4c6
terminal_bench_2_1,chess-best-move,pass,,,1,67678e73c276724ab3b3c43322937bcde47709504f13659587759068df6ec84e
terminal_bench_2_1,circuit-fibsqrt,pass,,,2,1f9de100d1a7874d84d86778f0a7bf088efff2d6468bb1145efeae51654b6b7c
deep_swe_v1_1,clack-async-autocomplete-options,pass,,,1,c124ed8a4a65f49a9e22657b7e33abc7e88497f87288c16c7e39353deb5eea0a
deep_swe_v1_1,claude-code-by-agents-recursive-delegation,pass,,,1,93cbf0a2dfecfbaad37928ad506f3dbb592939da2a9cdc3898e6d7f88940d2ad
deep_swe_v1_1,cliffy-config-file-parsing,pass,,,1,8707a1f8646122b6478b197d38b318003b5f185dcd24e9841e36c4369d27e2d9
terminal_bench_2_1,cobol-modernization,pass,,,1,1705beb4d6477f5b15d050be5f70b9fc6587093c957fc28d97c1f887a5f372cc
terminal_bench_2_1,code-from-image,pass,,,1,8ba4c4e6d7ef495742e43a12d33bfdad8e760367c95a2e3b389de7ff321ce412
terminal_bench_2_1,compile-compcert,pass,,,1,ae036bfee69846b3e34fb8e34a9aa4aeee16fa27951ebe85351abb2b162b94b7
terminal_bench_2_1,configure-git-webserver,pass,,,0,ed32cecc0db9e00584231b297c1c2ddd9429b20a2ee3218ec94066564c801992
terminal_bench_2_1,constraints-scheduling,pass,,,1,4cf9fc21ca01a17e2a5b085ae59975ce9948fa07201f11a47a2c681386338ba1
terminal_bench_2_1,count-dataset-tokens,pass,,,2,3dce01b08a8666ff5a12dd3f587b34f1cc3d4abbb561b8f3f701d24746116b4d
terminal_bench_2_1,crack-7z-hash,pass,,,1,1793952e0ed1cc623af3ed5aa276ed660d2c7d023f2fe9d11f2ce317df78d93d
deep_swe_v1_1,csstree-shorthand-expansion-compression,pass,,,1,220ab9abded4e86791d4e55be7ec357e37cfa5d06cb49e68d39a5798bfc7b450
terminal_bench_2_1,custom-memory-heap-crash,pass,,,1,bc1a4caed8cfa73393e2f56805f2828ee6671bd575c6307fc83d1bd4ac9a3b94
deep_swe_v1_1,dasel-html-document-format,pass,,,1,1218cef724275485da5c38e2c7c2f6752bcaa6839c2db7fdbebda32c720e6fcd
deep_swe_v1_1,dateutil-rfc5545-timezone-interop,pass,,,1,4050e44815fe21d40d31c90bd85ded828c950231689496f096cdfb15cd3e82e2
terminal_bench_2_1,db-wal-recovery,pass,,,1,d3db19a9b212a536549b14d91934ef4be6acbf41c2040092d6567a35087d32db
terminal_bench_2_1,distribution-search,pass,,,1,95cc70ade786854209594c565119da27ca4472dfb10f5c02ccd6d2683af77e47
terminal_bench_2_1,dna-assembly,pass,,,1,77d6ecac00ac0af8381fade5cfede018ea252e8d55a3482c1798be3e64b14982
terminal_bench_2_1,dna-insert,pass,,,1,d4842eb45a0f75101b327f4c0ea4df7d17b7602c335fa38095d63ba1853f4c87
deep_swe_v1_1,drizzle-orm-window-function-builders,pass,,,1,797351c5e215f9424ba7c77f78ed3ae88b3944427bea1606c131197280a79044
deep_swe_v1_1,dynamodb-toolbox-conditional-attribute-requirements,pass,,,1,d7ed820ead74bf096fcbd8e3c6b32df72442f229faff4cf812bb42101aec1e36
deep_swe_v1_1,dynamodb-toolbox-lazy-recursive-schemas,pass,,,1,1763f159bcc876af75f53f78db76f810dc460e7ae4e653474f1199f007513586
deep_swe_v1_1,effect-sse-httpapi-streaming,pass,,,1,ccd7f1e982571860d9877441a1b2484f542a831d9950f07ccd78b2fa2fc745c3
deep_swe_v1_1,eicrud-keyset-pagination-cursor,pass,,,1,110c8392b4451e374a0f0fba91d01ccd127a5d2636a93ff4236f23af37c2636c
