/Users/gss/benchmarks/android_world/android_world/agents/infer.py:23: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
I0507 00:08:09.775046 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:09.859964 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:09.919677 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:10.007957 6886828 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:12.364038 6886882 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:26.603995 6888372 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:26.680713 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:26.683750 6888401 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:26.683884 6888401 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:26.787532 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:26.789396 6888423 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:26.789424 6888423 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:26.816037 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:26.818000 6888449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:26.818039 6888449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:27.842213 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:27.844689 6888534 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:27.844724 6888534 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:28.883751 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:28.888012 6888598 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:28.888136 6888598 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:28.932619 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:28.934788 6888632 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:28.934827 6888632 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:28.957119 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:28.958723 6888654 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:28.958756 6888654 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:28.982456 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.010440 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.043017 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.044866 6888737 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0507 00:08:29.044892 6888737 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:29.044893 6888737 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:29.167047 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.169724 6888767 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0507 00:08:29.169756 6888767 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:29.169758 6888767 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:29.192952 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.212836 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.214262 6888832 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0507 00:08:29.214285 6888832 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0507 00:08:29.214286 6888832 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0507 00:08:29.225917 6886548 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0507 00:08:29.227516 6888858 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
