/Users/gss/benchmarks/android_world/android_world/agents/infer.py:23: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
I0506 12:43:19.237457 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:19.268285 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:19.293056 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:19.402647 2927494 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:19.826024 2927554 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:30.450640 2927898 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:33.498015 2927988 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:33.556940 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:33.559240 2928013 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:33.559297 2928013 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:33.650968 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:33.653081 2928039 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:33.653112 2928039 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:33.675755 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:33.677925 2928064 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:33.677955 2928064 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:34.699712 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:34.702041 2928098 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:34.702074 2928098 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:35.734556 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:35.736504 2928129 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:35.736557 2928129 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:35.765278 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:35.767050 2928155 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:35.767116 2928155 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:35.792235 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 12:43:35.794285 2928180 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 12:43:35.794344 2928180 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 12:43:35.815148 2927237 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
