/Users/gss/benchmarks/android_world/android_world/agents/infer.py:23: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
I0506 18:27:55.403806 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:27:55.447620 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:27:55.485612 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:27:55.541815 5370717 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:27:56.188607 5372197 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:06.910128 5377701 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:09.991163 5378434 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:10.070730 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:10.075099 5378449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:10.075149 5378449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:10.181488 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:10.184379 5378473 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:10.184412 5378473 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:10.215009 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:10.217086 5378512 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:10.217146 5378512 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:11.244884 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:11.246578 5379019 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:11.246648 5379019 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.289887 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.292319 5381619 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.292361 5381619 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.334048 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.337703 5381652 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.337762 5381652 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.363010 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.365920 5381674 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.366012 5381674 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.389720 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.391960 5381699 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.391999 5381699 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.445947 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.448255 5381727 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.448338 5381727 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.479223 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.481317 5381750 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.481375 5381750 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.597563 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.599614 5381779 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.599662 5381779 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.599663 5381779 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.617998 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.620795 5381805 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.620851 5381805 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.620853 5381805 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.670054 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.672230 5381830 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.672259 5381830 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.672260 5381830 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.691719 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.693265 5381856 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.693309 5381856 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.693310 5381856 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.731616 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.733932 5381882 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.733987 5381882 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.733989 5381882 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.750317 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.751895 5381908 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.751959 5381908 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.751961 5381908 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.770505 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.772333 5381931 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.772362 5381931 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.772363 5381931 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.791237 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.792918 5381980 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.809214 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.810736 5382040 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.810766 5382040 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.810767 5382040 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.843652 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.845359 5382130 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.845429 5382130 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.845431 5382130 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.860158 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.861938 5382184 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.862004 5382184 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.862006 5382184 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.876175 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.878024 5382234 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.878084 5382234 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.878086 5382234 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.895677 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.897290 5382294 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.897348 5382294 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.897350 5382294 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.911303 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.929896 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.931688 5382406 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.931727 5382406 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.931728 5382406 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.943020 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.944477 5382449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.944506 5382449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.944507 5382449 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.959734 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.961491 5382497 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.961572 5382497 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.961574 5382497 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:12.977394 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:12.979352 5382554 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:12.979379 5382554 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:12.979380 5382554 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:13.000514 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:13.002339 5382612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 18:28:13.002395 5382612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 18:28:13.002397 5382612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 18:28:13.016983 5368311 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 18:28:13.018651 5382662 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
