/Users/gss/benchmarks/android_world/android_world/agents/infer.py:23: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
I0506 13:09:35.751384 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:35.779840 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:35.805288 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:35.830571 2989963 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:35.851265 2989963 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:35.853831 2990004 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:36.308198 2990032 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:46.673572 2990203 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:49.719762 2990247 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:49.751400 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:49.754129 2990277 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:49.754159 2990277 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:49.808362 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:49.812449 2990300 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:49.812498 2990300 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:49.843223 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:49.845328 2990323 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:49.845360 2990323 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:50.867572 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:50.870725 2990387 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:50.870767 2990387 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:51.909174 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:51.914798 2990433 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:51.914865 2990433 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:51.949663 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:51.952967 2990461 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:51.953002 2990461 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:51.973595 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:51.976750 2990484 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:51.976790 2990484 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:51.999142 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.024885 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.028169 2990537 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.028203 2990537 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.028204 2990537 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.048730 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.052009 2990561 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.052068 2990561 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.052069 2990561 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.162238 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.164368 2990585 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.164396 2990585 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.164397 2990585 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.180088 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.182286 2990612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.182341 2990612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.182343 2990612 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.197579 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.199764 2990638 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.199794 2990638 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.199796 2990638 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.219156 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.221182 2990661 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.221207 2990661 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.221208 2990661 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.242925 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
I0506 13:09:52.245861 2990689 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(16, generation: 1)
I0506 13:09:52.245915 2990689 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(10, generation: 1)
I0506 13:09:52.245917 2990689 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(7, generation: 1)
I0506 13:09:52.267309 2989782 fork_posix.cc:71] Other threads are currently calling into gRPC, skipping fork() handlers
