benchmark,left_agent,right_agent,left_interval,right_interval,identified,relation,record_keys_sha256
tau3_retail,agent_a,agent_b,"[67.0%, 67.0%]","[84.0%, 85.0%]",true,C > G,d96762ffba41176d8f81e071015a387d654b85cf39289b394604fadc7e06e63c
tau3_retail,agent_a,agent_c,"[67.0%, 67.0%]","[61.0%, 61.0%]",true,G > D,a4d3249317962f9e08f434f90d25ca103aea4522faf51a21e6d79be6cd448254
tau3_retail,agent_b,agent_c,"[84.0%, 85.0%]","[61.0%, 61.0%]",true,C > D,ce0db6b976194323956b895461a28fc12a6b1b358677882397d9ec9488f2fc5b
appworld,agent_a,agent_b,"[69.0%, 69.0%]","[79.0%, 79.0%]",true,C > G,194de55256bf7207898c4ce50ac8964be31d7e0cf4d14d6723b76c761951c998
appworld,agent_a,agent_c,"[69.0%, 69.0%]","[72.0%, 72.0%]",true,D > G,a7296f5ccb6cebc70abfc1e5d800113deb90e812c61ed5e848b1621020997548
appworld,agent_b,agent_c,"[79.0%, 79.0%]","[72.0%, 72.0%]",true,C > D,438617ca2dfdcac748e3a277ac814e1b16e4422f2c8fb9c53c928b8c670df7dd
agentdojo,agent_a,agent_b,"[59.0%, 74.0%]","[71.0%, 92.0%]",false,overlap,6ce8e50d53043944dc42f6fbee5943a8dd091c9f16a603acf9e172380a0e5e99
agentdojo,agent_a,agent_c,"[59.0%, 74.0%]","[61.0%, 75.0%]",false,overlap,7bb5fe311a433d1a2565d34e6bd2d10d9f8e0735bab03827b2b86ec750f49d4f
agentdojo,agent_b,agent_c,"[71.0%, 92.0%]","[61.0%, 75.0%]",false,overlap,fb38900725a62210d62324828d3ac3f49fe25e53605a968f9735977230c727c8
miniwob,agent_a,agent_b,"[38.0%, 38.0%]","[41.0%, 41.0%]",true,C > G,04fb20b6546a1e54a047e5e639c8d531dde60d281b29fe7b148cba29ac4d7629
miniwob,agent_a,agent_c,"[38.0%, 38.0%]","[39.0%, 39.0%]",true,D > G,959874600fa4a75d179965dc312516a612d009bcc169bd286d1199417930ef57
miniwob,agent_b,agent_c,"[41.0%, 41.0%]","[39.0%, 39.0%]",true,C > D,ca12fdea5b28d4823062bb0b4e79d7b6e5ce7b47ab5b92fd68aa3f0cb7b1984e
